City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
215,Jacmel,HT,2022-04-17 23:56:23,18.2342,-72.5347,76.55,81,95,7.7,overcast clouds
216,Kushima,JP,2022-04-17 23:56:23,31.4583,131.2333,65.95,55,99,2.75,overcast clouds
217,Dunedin,NZ,2022-04-17 23:56:23,-45.8742,170.5036,60.8,61,0,11.99,clear sky
218,Plettenberg Bay,ZA,2022-04-17 23:56:23,-34.0527,23.3716,59.36,77,32,3.4,scattered clouds
219,Los Llanos De Aridane,ES,2022-04-17 23:56:24,28.6585,-17.9182,67.75,49,100,11.5,overcast clouds
220,Bowmore,US,2022-04-17 23:56:24,34.9421,-79.3031,73.81,55,74,4.0,broken clouds
221,Airai,TL,2022-04-17 23:56:24,-8.9266,125.4092,68.76,70,78,1.41,broken clouds
222,Khandyga,RU,2022-04-17 23:56:25,62.6667,135.6,24.6,87,100,5.61,overcast clouds
223,Safaga,EG,2022-04-17 23:56:25,26.7292,33.9365,78.6,42,70,4.88,broken clouds
224,Petatlan,MX,2022-04-17 23:56:25,17.5167,-101.2667,82.44,53,61,4.74,broken clouds
225,Murgab,TM,2022-04-17 23:56:26,37.4966,61.9714,57.07,94,100,9.22,overcast clouds
226,Tanggu,CN,2022-04-17 23:56:26,39.0211,117.6469,60.76,36,100,1.9,overcast clouds
227,Rocha,UY,2022-04-17 23:57:26,-34.4833,-54.3333,58.06,89,100,4.52,light rain
228,Waitati,NZ,2022-04-17 23:57:27,-45.75,170.5667,60.8,61,0,5.93,clear sky
229,La Libertad,EC,2022-04-17 23:57:27,-2.2333,-80.9,74.86,83,0,10.36,clear sky
230,Pak Phanang,TH,2022-04-17 23:57:27,8.3511,100.202,80.62,77,97,5.66,overcast clouds
231,Langham,CA,2022-04-17 23:57:28,52.3668,-106.9679,38.01,56,86,5.57,overcast clouds
232,Breves,BR,2022-04-17 23:48:54,-1.6822,-50.4803,74.52,96,100,3.24,light rain
233,Ixtapa,MX,2022-04-17 23:57:28,20.7,-105.2,78.22,72,86,5.99,overcast clouds
234,Assiniboia,CA,2022-04-17 23:57:28,49.6334,-105.9845,31.82,47,98,9.22,overcast clouds
235,Toamasina,MG,2022-04-17 23:57:29,-18.1667,49.3833,74.25,89,55,4.72,light rain
236,Harlingen,US,2022-04-17 23:53:02,26.1906,-97.6961,87.89,49,1,12.66,clear sky
237,Waingapu,ID,2022-04-17 23:57:29,-9.6567,120.2641,81.97,81,96,4.03,overcast clouds
238,Luanda,AO,2022-04-17 23:57:29,-8.8368,13.2343,78.8,89,75,8.05,broken clouds
239,Montanha,BR,2022-04-17 23:57:30,-18.1269,-40.3633,70.93,75,99,8.34,overcast clouds
240,Voh,NC,2022-04-17 23:57:30,-20.9667,164.7,77.9,68,99,0.4,overcast clouds
241,Homa Bay,KE,2022-04-17 23:57:30,-0.5273,34.4571,66.15,85,100,6.33,overcast clouds
242,Roseland,US,2022-04-17 23:57:30,38.4221,-122.728,69.87,48,6,7.0,clear sky
243,Sitka,US,2022-04-17 23:57:31,57.0531,-135.33,43.93,57,100,2.35,overcast clouds
244,Rio Gallegos,AR,2022-04-17 23:57:01,-51.6226,-69.2181,50.05,81,100,25.32,light rain
245,Mandello Del Lario,IT,2022-04-17 23:57:31,45.9192,9.3193,52.11,52,40,1.25,scattered clouds
